student_id,name,age,gender,score,phone,extension,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address,city,postal,hobbies,skills_tech_python,skills_tech_excel,skills_tech_sql,skills_soft,family_siblings,family_income_father,family_income_mother,laptop_brand,laptop_year,phone_brand,phone_year
1,Claudia Short,20,,,+1-379-415-2102,102,,2022-09-03 23:22:44,Data Science,,Active,3.72,Good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district",Katieland,100539,"gun, nice",2.0,5.0,1.0,"with, onto",4,1198.0,1089.0,HP,2021,Xiaomi,2021
2,,20,Female,90.0,,,psmith@chen.com,2017-08-29 00:00:00,Data Science,,Active,1.88,Excellent,152.0,2001-11-10 04:19:00,South Patricia,Dawnburgh,100332,"against, good",,,,,,,,,,,
3,Kathryn Moyer,20,,90.0,,,,2017-08-14 00:00:00,Data Science,,Pending,,Excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1",Lake Stevenmouth,,"fast, clearly",5.0,3.0,1.0,"despite, clearly",1,263.0,202.0,HP,2020,Samsung,2023
4,Ruben Wilson,20,Female,81.0,,,,1973-09-17 00:00:00,Data Science,,Inactive,0.0,Good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district",Port Pamelafort,100097,"left, role",3.0,5.0,1.0,"full, series",4,508.0,698.0,Lenovo,2020,Samsung,2024
5,Robert Pruitt,20,Female,,+1-956-310-2803,02803,,2023-11-25 00:00:00,Data Science,,Pending,4.37,Average,282.0,2013-10-13 00:00:00,,Kingburgh,,"sort, science",1.0,4.0,1.0,"whose, save",3,862.0,1058.0,Lenovo,2023,Apple,2022
6,David Martinez,20,Male,90.0,+1-828-601-6937,937,nathangibbs@hotmail.com,2020-10-23 22:54:07,Data Science,100.0,Pending,,Average,85.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district",Hugheshaven,100551,"order, keep",,,,,,,,,,,
7,,18,Female,71.0,+1-180-928-3134,3134,nguyenlisa@horn.org,1982-01-16 00:00:00,Data Science,,Active,0.0,Excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8",Sharpfurt,,"fall, teacher",4.0,1.0,4.0,"teacher, good",3,1270.0,931.0,HP,2018,Xiaomi,2023
8,Nicholas Dennis,21,Female,90.0,+1-809-155-6011,,,2000-06-26 00:00:00,Python,63.0,Active,4.5,Excellent,135.0,1978-09-23 00:00:00,70576 Butler Harbor Suite 847,Matthewfort,,,,,,,,,,,,,
9,,20,Female,77.0,+1-854-964-5423,,stacysmith@taylor.biz,2000-03-15 00:00:00,Data Science,100.0,Active,,Excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18",South Paulchester,,"require, open",1.0,5.0,4.0,"partner, walk",0,850.0,1062.0,Dell,2019,Apple,2020
10,Elizabeth Villegas,22,Female,,+1-674-476-0583,0583,anthonywalker@gmail.com,2013-02-11 07:12:29,Data Science,99.0,Inactive,3.7,Average,215.0,2014-12-16 06:44:51,,South Dianatown,,"management, to",1.0,1.0,4.0,"beat, southern",3,597.0,1150.0,Dell,2016,Xiaomi,2023
11,Shawn Baker,19,,,+1-986-850-9629,,,2025-06-10 00:00:00,Data Science,100.0,Active,3.7,Excellent,183.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district",Zhangstad,100659,,,,,,,,,,,,
12,,18,Female,71.0,,,annalee@gmail.com,2013-01-14 19:16:00,Data Science,100.0,Inactive,,Average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district",Austinside,100315,"forward, like",,,,,,,,,,,
13,,19,Female,90.0,+1-573-631-1916,916,,2014-12-24 00:00:00,Data Science,100.0,Inactive,4.5,Excellent,84.0,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20",Lesliefurt,,,,,,,,,,,,,
14,Thomas Prince,20,,,,,aphillips@holland-diaz.org,2012-02-09 00:00:00,Python,100.0,Inactive,,Excellent,210.0,2013-05-14 00:00:00,Stevensborough,East Michellestad,100394,"understand, become",,,,,,,,,,,
15,,21,Male,73.0,,,kevin65@maxwell.info,1971-03-17 08:30:18,Python,100.0,Pending,3.7,Good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29",Michellebury,,,,,,,,,,,,,
16,Adrian Allen,20,Female,,,,,1999-08-29 00:00:00,Python,100.0,Pending,3.7,Excellent,53.0,1983-10-13 00:00:00,1965 Jacobs Branch Apt. 418,Antoniobury,,"partner, race",4.0,4.0,4.0,"onto, owner",3,798.0,626.0,Dell,2019,Apple,2022
17,Stephen Lyons,19,,76.0,,,,2009-10-13 02:20:00,Data Science,100.0,Active,4.5,Good,110.0,1984-12-04 09:17:45,Joehaven,New Adam,100399,"nothing, community",1.0,1.0,5.0,"wear, will",1,772.0,498.0,Lenovo,2023,Apple,2021
18,Zachary Lyons,18,Male,68.0,+1-242-552-5722,,,2003-09-25 00:00:00,Data Science,100.0,Inactive,4.5,Average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district",Chenport,100106,,,,,,,,,,,,
19,,20,Female,50.0,+1-179-099-6883,,,1974-02-20 00:00:00,Data Science,100.0,Active,3.05,Excellent,66.0,1976-05-07 00:00:00,,West Danaville,,,,,,,,,,,,,
20,Anthony Hardy,20,Male,90.0,+1-728-730-1241,1241,,1973-05-20 19:05:00,Data Science,65.0,Pending,4.5,Excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21",Kimport,,"certainly, defense",5.0,2.0,4.0,"medical, quality",4,1220.0,1220.0,Lenovo,2018,Apple,2019
21,Hector Beltran,20,Male,52.0,,,preid@hotmail.com,2010-02-02 00:00:00,Data Science,100.0,Active,,Good,153.0,1983-03-31 17:15:15,,North Harry,,,,,,,,,,,,,
22,Tara Nguyen,22,,73.0,+1-874-299-9225,225,rrodriguez@newman.com,2000-06-04 17:46:54,Python,78.0,Inactive,4.5,Excellent,174.0,2020-11-26 00:00:00,Lake Shaneland,Brittanychester,100063,"create, accept",1.0,3.0,1.0,"new, manager",3,1140.0,1117.0,Dell,2016,Xiaomi,2018
23,Jessica Robinson,22,Male,90.0,+1-509-376-8300,68300,,2010-05-10 12:48:00,Data Science,81.0,Inactive,3.7,Good,261.0,2005-06-09 00:00:00,0451 James Cliffs Suite 725,Jonesfurt,,"type, beautiful",,,,,,,,,,,
24,Latoya Williams,18,Male,60.0,,,,2021-08-06 11:33:00,Data Science,100.0,Pending,3.7,Excellent,148.0,2021-11-12 15:59:30,0258 Sean Keys Apt. 380,North Ashleyborough,,"step, section",1.0,5.0,3.0,"beat, popular",0,1376.0,871.0,Dell,2022,Xiaomi,2019
25,,21,,90.0,,,urodriguez@ferrell.com,2025-03-08 00:00:00,Data Science,,Pending,,Excellent,135.0,2000-07-16 13:07:00,06462 Buck Springs Apt. 169,Donnaview,,"phone, consider",1.0,3.0,2.0,"must, around",0,1453.0,206.0,Lenovo,2019,Xiaomi,2020
27,Emily Cummings,22,Female,59.0,,,,2023-04-28 18:06:01,Python,,Inactive,1.18,Average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district",East Dariuston,100696,"billion, feeling",3.0,1.0,3.0,"thought, particularly",4,303.0,1245.0,Lenovo,2023,Samsung,2023
28,Brandy Powell,20,,87.0,+1-330-292-9740,9740,benjamincollins@davis.info,2000-07-27 00:00:00,Python,100.0,Inactive,,Excellent,285.0,2014-07-31 11:40:00,,Oconnellburgh,,"energy, however",2.0,1.0,3.0,"either, plan",4,1105.0,1106.0,Lenovo,2023,Samsung,2022
29,,21,Male,88.0,+1-810-292-1287,21287,elizabeth49@yahoo.com,2014-09-19 00:00:00,Data Science,,Inactive,,,295.0,1992-05-20 00:00:00,241 Sarah Spring,West Rachel,,,,,,,,,,,,,
30,Jaime Rowe,,Female,69.0,+1-892-959-8929,929,eolson@carr.net,1972-01-29 01:01:06,Data Science,64.0,Pending,3.7,Average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50",Shepardmouth,,"woman, wear",4.0,5.0,3.0,"reduce, than",4,1291.0,913.0,Lenovo,2024,Xiaomi,2019
31,Brianna Castro,21,,90.0,,,,2007-10-13 09:29:00,Data Science,100.0,Pending,,Average,63.0,1970-09-12 00:00:00,,East Regina,,,,,,,,,,,,,
32,April Johnson,20,Male,90.0,+1-054-829-3587,,daniel21@hotmail.com,2021-11-27 01:13:12,Python,100.0,Active,,Good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district",Andersontown,100686,"material, relate",5.0,3.0,3.0,"against, history",4,1124.0,1323.0,Dell,2023,Apple,2018
33,Joyce Franklin,20,Female,60.0,+1-090-581-6281,281,,2000-06-29 21:16:26,Data Science,66.0,Inactive,,Excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41",South Brittany,,"run, case",4.0,2.0,3.0,"rock, never",4,1009.0,1369.0,Dell,2022,Xiaomi,2020
35,,22,Female,,+1-230-352-2091,22091,,2008-01-25 20:03:00,Data Science,100.0,Pending,,,136.0,1998-08-30 02:53:00,Lake Donaldton,North Maryfort,100652,,,,,,,,,,,,
36,,22,,87.0,+1-177-825-1647,51647,,2018-11-11 00:00:00,Python,100.0,Inactive,,Average,202.0,2024-12-18 00:00:00,"North Amy 11-kv, dom 49",North Gerald,,"stay, even",3.0,5.0,3.0,"generation, group",1,219.0,1344.0,Dell,2017,Apple,2021
37,Jeremy Fry,18,Female,90.0,+1-802-562-2965,2965,mccoyandrew@yahoo.com,2023-08-30 22:57:05,Data Science,100.0,Pending,4.5,Average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district",New Kent,100606,"score, bar",,,,,,,,,,,
38,Christopher Sosa,20,Male,90.0,+1-648-173-7665,665,,2022-08-12 00:00:00,Data Science,67.0,Active,,Excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district",New Aliceland,100192,"art, learn",3.0,2.0,3.0,"write, alone",2,1354.0,448.0,Lenovo,2024,Samsung,2020
39,David Duke,20,Female,,+1-526-677-6949,,baguilar@hotmail.com,2004-09-26 00:00:00,Python,100.0,Active,,Excellent,159.0,2022-05-25 01:20:33,Port William,Harrishaven,100766,"challenge, trouble",,,,,,,,,,,
40,Sara Page,20,Female,71.0,,,edgar27@phillips-martin.info,2022-03-26 05:45:17,Python,100.0,Inactive,,,140.0,1993-10-06 00:00:00,73317 Timothy Port Suite 163,West William,,"imagine, middle",3.0,4.0,4.0,"begin, movement",5,270.0,255.0,Lenovo,2020,Apple,2021
42,Mark Smith,,Male,90.0,,,,1980-12-09 00:00:00,Data Science,81.0,Inactive,,Excellent,255.0,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district",West Morganchester,100563,,,,,,,,,,,,
43,Amanda Myers,19,Female,90.0,+1-698-115-3243,,hoganandrew@hotmail.com,2021-06-24 12:05:49,Data Science,100.0,Pending,,Average,140.0,1990-02-09 05:03:04,North Joseph,North Christopherborough,100515,"professional, necessary",5.0,4.0,2.0,"recent, tend",1,1134.0,1304.0,Dell,2018,Apple,2021
44,Eric George,18,Male,93.0,,,cynthia47@oneill.com,2022-03-17 10:25:13,Python,,Inactive,,Good,205.0,2022-06-27 20:25:36,North Candace,Nathanborough,100297,"official, begin",,,,,,,,,,,
46,Brandi Jones,20,Male,,,,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Data Science,92.0,Inactive,,,172.0,1975-05-22 00:00:00,,Ramirezborough,,"raise, let",1.0,5.0,2.0,"tell, compare",3,209.0,1191.0,Dell,2016,Apple,2021
47,John Robinson,19,,51.0,,,wallacerandy@bradshaw.com,2021-01-18 15:09:03,Data Science,,Active,,Average,166.0,1994-04-25 00:00:00,East Williamport,Port Tracy,100626,"above, even",3.0,2.0,5.0,"minute, view",4,1127.0,1111.0,HP,2020,Apple,2022
48,Suzanne Meyer,20,Male,95.0,,,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data Science,100.0,Active,,,144.0,1976-01-20 00:00:00,6637 Michelle Unions Apt. 959,South Joshua,,"do, property",3.0,1.0,4.0,"parent, raise",1,709.0,1006.0,Dell,2015,Apple,2024
49,,18,Female,90.0,+1-271-809-4741,,ablair@gomez.com,2023-01-02 03:42:09,Data Science,81.0,Active,,Average,225.0,1992-09-19 00:00:00,00607 Alvarez Circles Suite 553,Lake Michael,,"wonder, strong",,,,,,,,,,,
50,Justin Wong,18,Female,90.0,+1-099-177-1999,1999,,1970-02-03 13:13:00,Data Science,100.0,Active,3.7,Average,164.0,1995-02-16 00:00:00,"Apartment 28, East Andrew district",Travisfort,100090,"decide, continue",4.0,4.0,3.0,"these, could",3,204.0,506.0,Lenovo,2016,Samsung,2024
51,James Davis,20,Female,61.0,,,,2014-02-09 00:00:00,Data Science,,Inactive,3.7,Average,132.0,1995-04-07 00:00:00,Lake Amy,New Emilyshire,100391,"prove, central",,,,,,,,,,,
52,Mitchell Conway,19,Female,63.0,+1-570-911-9906,,,1994-06-13 04:13:00,Data Science,,Inactive,,,205.0,2023-01-10 06:52:10,,Lake Louis,,"painting, tough",4.0,5.0,2.0,"hour, series",3,543.0,1003.0,Dell,2015,Apple,2020
53,,20,Female,88.0,+1-691-118-5301,5301,dclark@boyd.info,2012-06-25 00:00:00,Data Science,100.0,Inactive,3.7,Average,251.0,1990-03-31 00:00:00,Annabury,West Lindsayview,100232,"least, question",,,,,,,,,,,
54,Heather Moreno,19,Female,83.0,+1-782-890-5514,05514,woodsanna@wilkinson-glenn.info,2025-07-25 00:00:00,Data Science,,Pending,,Excellent,221.0,2024-01-16 00:00:00,"Christown 6-kv, dom 20",South Jasmine,,"leave, effect",3.0,5.0,5.0,"six, reduce",1,581.0,302.0,Dell,2020,Apple,2020
55,Todd Moore,21,Male,,+1-422-301-4006,14006,schmidtregina@gmail.com,1999-04-29 21:01:29,Data Science,100.0,Inactive,0.0,Excellent,51.0,1998-03-22 03:51:00,"Apartment 40, West Davidhaven district",Richardview,100291,"save, most",,,,,,,,,,,
56,,21,Female,90.0,,,dominguezerin@solis.org,2021-09-21 03:28:09,Python,,Inactive,4.5,,298.0,1980-07-14 00:00:00,"Apartment 42, South Charles district",Katelynton,100904,"where, game",4.0,2.0,1.0,"per, detail",1,602.0,1380.0,Lenovo,2019,Samsung,2022
57,Ashley Lowe,20,Female,90.0,+1-900-671-5583,5583,zvargas@chapman.org,2025-02-08 09:46:00,Data Science,,Inactive,,Average,236.0,2023-01-02 00:00:00,87807 Kayla Glens,Robertshire,,,,,,,,,,,,,
58,Eric Holmes,18,Male,57.0,+1-421-927-3279,,,2001-03-13 12:56:00,Data Science,80.0,Pending,,Excellent,160.0,2020-05-21 00:00:00,682 Vasquez Expressway Suite 699,West Tricia,,"recognize, between",5.0,2.0,2.0,"image, leg",5,1178.0,1209.0,Lenovo,2021,Xiaomi,2020
59,Nathan Melendez,20,Female,75.0,+1-267-108-2545,,,1971-06-20 00:00:00,Data Science,,Active,4.5,Average,65.0,1970-09-19 00:00:00,"Apartment 9, Laurabury district",Wheelerport,100798,"offer, president",,,,,,,,,,,
60,Brett Cabrera,20,,90.0,,,,2022-07-07 17:07:18,Data Science,,Active,,Excellent,121.0,1972-01-29 00:00:00,"East Elizabethhaven 9-kv, dom 15",Port Carlos,,,,,,,,,,,,,
61,William Moore,20,Female,93.0,+1-542-835-7188,,,2010-05-07 00:00:00,Data Science,,Inactive,3.2,Average,50.0,1983-06-05 05:46:56,6258 Gordon Road,Port Juanland,,"painting, kid",1.0,4.0,2.0,"fill, growth",5,964.0,1178.0,Lenovo,2017,Samsung,2024
62,Margaret Lopez,20,Male,90.0,+1-481-005-1067,51067,ogarcia@hahn.net,1980-02-04 04:04:00,Python,100.0,Active,4.07,,183.0,2023-09-26 21:00:08,,East Caitlinfurt,,"others, one",3.0,5.0,2.0,"enjoy, test",5,946.0,741.0,HP,2024,Samsung,2018
63,William Olsen,22,Female,90.0,+1-589-118-3975,975,,1995-11-13 00:00:00,Data Science,,Inactive,3.72,Excellent,138.0,1999-04-21 00:00:00,9057 Griffin Heights,East Sophia,,,,,,,,,,,,,
65,Randall Heath,18,Male,90.0,+1-373-603-3101,101,,2022-08-11 18:02:11,Python,65.0,Pending,4.5,Average,105.0,1985-10-02 00:00:00,"Apartment 7, Lutzfort district",Deleonside,100220,"position, stuff",3.0,4.0,1.0,"two, economy",5,527.0,408.0,HP,2021,Xiaomi,2023
66,,20,Male,90.0,+1-114-989-5033,,nrichard@carney.com,2012-03-29 00:00:00,Data Science,99.0,Inactive,4.5,Average,274.0,2016-12-24 09:42:22,67890 Conrad Walks,North Markbury,,"shake, behind",3.0,4.0,5.0,"what, happy",5,1227.0,564.0,Dell,2017,Apple,2019
67,Ashley Mills,,Female,90.0,,,,2012-07-27 00:00:00,Data Science,,Pending,,Excellent,276.0,1991-06-04 04:44:47,,Youngside,,"share, fly",2.0,5.0,3.0,"floor, question",0,1427.0,1378.0,Lenovo,2017,Xiaomi,2022
68,John Rosario,18,Female,82.0,+1-955-992-9289,29289,,1971-07-20 08:45:22,Data Science,,Inactive,,Good,190.0,1990-08-02 14:57:53,"Apartment 1, North Adammouth district",Belindabury,100059,"result, current",3.0,1.0,4.0,"return, address",5,1037.0,1043.0,HP,2021,Apple,2022
70,,18,Female,66.0,+1-859-879-6579,96579,nathaniel54@lloyd.biz,2002-10-31 12:03:00,Data Science,100.0,Pending,4.5,Excellent,88.0,2012-06-13 19:49:00,"Port Lisa 17-kv, dom 46",Lake Josephville,,"ahead, force",5.0,1.0,1.0,"where, responsibility",5,658.0,561.0,Lenovo,2022,Apple,2023
71,Robert Hayes,,Male,,+1-856-236-2942,62942,teresa05@collins.biz,2021-12-02 18:05:32,Python,63.0,Pending,,Excellent,103.0,1996-09-27 00:00:00,"Benitezmouth 14-kv, dom 38",Tabithafurt,,"lead, toward",1.0,2.0,3.0,"through, water",5,494.0,1415.0,HP,2018,Xiaomi,2019
72,William Weiss,,Female,78.0,+1-336-187-5307,,,2022-05-11 09:28:45,Data Science,,Active,,,57.0,1977-11-15 00:00:00,313 Ayala Point,Williamfort,,,,,,,,,,,,,
73,,18,Female,90.0,,,scampbell@mendez.biz,1993-12-18 00:00:00,Data Science,,Inactive,3.19,Good,117.0,2001-05-06 00:00:00,,Smithville,,"majority, week",,,,,,,,,,,
